27 дек. 2022 08:27:10,723  INFO StartLogger - Server is starting...
27 дек. 2022 08:27:11,630  INFO StartLogger - Logics instance is starting...
27 дек. 2022 08:27:11,671  INFO StartLogger - Initializing BusinessLogics
27 дек. 2022 08:27:11,678  INFO StartLogger - Creating modules
27 дек. 2022 08:27:11,679  INFO StartLogger - Initializing localizer
27 дек. 2022 08:27:11,679  INFO StartLogger - Initializing string literals data
27 дек. 2022 08:27:11,947  INFO StartLogger - Initializing dependencies
27 дек. 2022 08:27:12,063  INFO StartLogger - Initializing modules order
27 дек. 2022 08:27:12,065  INFO StartLogger - Initializing metacodes and classes
27 дек. 2022 08:27:12,525  INFO StartLogger - Initializing object class
27 дек. 2022 08:27:12,528  INFO StartLogger - Initializing tables
27 дек. 2022 08:27:12,585  INFO StartLogger - Initializing class tables
27 дек. 2022 08:27:12,653  INFO StartLogger - Initializing full tables with one key
27 дек. 2022 08:27:12,654  INFO StartLogger - Initializing main logic
27 дек. 2022 08:27:12,661  INFO StartLogger - Initializing main logic for module : #1 of 42 System (actual: 1)
27 дек. 2022 08:27:13,168  INFO StartLogger - Initializing main logic for module : #2 of 42 Integration (actual: 27)
27 дек. 2022 08:27:13,168  INFO StartLogger - Initializing main logic for module : #4 of 42 MasterData (actual: 6)
27 дек. 2022 08:27:13,168  INFO StartLogger - Initializing main logic for module : #3 of 42 OpenCV (actual: 40)
27 дек. 2022 08:27:13,168  INFO StartLogger - Initializing main logic for module : #5 of 42 DefaultData (actual: 13)
27 дек. 2022 08:27:13,170  INFO StartLogger - Initializing main logic for module : #7 of 42 Image (actual: 18)
27 дек. 2022 08:27:13,169  INFO StartLogger - Initializing main logic for module : #6 of 42 Sound (actual: 34)
27 дек. 2022 08:27:13,170  INFO StartLogger - Initializing main logic for module : #8 of 42 Printer (actual: 17)
27 дек. 2022 08:27:13,172  INFO StartLogger - Initializing main logic for module : #9 of 42 Com (actual: 31)
27 дек. 2022 08:27:13,175  INFO StartLogger - Initializing main logic for module : #11 of 42 Time (actual: 2)
27 дек. 2022 08:27:13,174  INFO StartLogger - Initializing main logic for module : #10 of 42 HockeyStats (actual: 16)
27 дек. 2022 08:27:13,175  INFO StartLogger - Initializing main logic for module : #12 of 42 ProcessUtils (actual: 35)
27 дек. 2022 08:27:13,184  INFO StartLogger - Initializing main logic for module : #13 of 42 Numerator (actual: 19)
27 дек. 2022 08:27:13,276  INFO StartLogger - Initializing main logic for module : #14 of 42 Authentication (actual: 3)
27 дек. 2022 08:27:13,276  INFO StartLogger - Initializing main logic for module : #15 of 42 Utils (actual: 7)
27 дек. 2022 08:27:13,342  INFO StartLogger - Initializing main logic for module : #16 of 42 Geo (actual: 36)
27 дек. 2022 08:27:13,342  INFO StartLogger - Initializing main logic for module : #17 of 42 I18n (actual: 30)
27 дек. 2022 08:27:13,343  INFO StartLogger - Initializing main logic for module : #20 of 42 Fax (actual: 42)
27 дек. 2022 08:27:13,343  INFO StartLogger - Initializing main logic for module : #19 of 42 Hierarchy (actual: 24)
27 дек. 2022 08:27:13,342  INFO StartLogger - Initializing main logic for module : #18 of 42 Excel (actual: 25)
27 дек. 2022 08:27:13,343  INFO StartLogger - Initializing main logic for module : #21 of 42 Schedule (actual: 41)
27 дек. 2022 08:27:13,483  INFO StartLogger - Initializing main logic for module : #22 of 42 Reflection (actual: 4)
27 дек. 2022 08:27:13,483  INFO StartLogger - Initializing main logic for module : #25 of 42 Historizable (actual: 23)
27 дек. 2022 08:27:13,483  INFO StartLogger - Initializing main logic for module : #23 of 42 ProcessMonitor (actual: 21)
27 дек. 2022 08:27:13,483  INFO StartLogger - Initializing main logic for module : #24 of 42 Document (actual: 20)
27 дек. 2022 08:27:13,601  INFO StartLogger - Initializing main logic for module : #26 of 42 Messenger (actual: 32)
27 дек. 2022 08:27:13,601  INFO StartLogger - Initializing main logic for module : #28 of 42 SystemEvents (actual: 5)
27 дек. 2022 08:27:13,601  INFO StartLogger - Initializing main logic for module : #27 of 42 Email (actual: 9)
27 дек. 2022 08:27:13,616  INFO StartLogger - Initializing main logic for module : #29 of 42 Viber (actual: 37)
27 дек. 2022 08:27:13,616  INFO StartLogger - Initializing main logic for module : #32 of 42 Telegram (actual: 33)
